"From","To"
"208293","27565"
"208293","94687"
"208293","148410"
"208293","251928"
"208293","251929"
"212118","26776"
"212118","178198"
"212119","130343"
"212119","178198"
"212119","227119"
"213479","19610"
"213479","21722"
"215144","26776"
"215503","61795"
"215503","304118"
"215590","106214"
"215590","130343"
"216146","200864"
"218408","164542"
"218518","135783"
"219244","125194"
"220038","32916"
"220069","122678"
"222019","21722"
"222140","24718"
"222247","188778"
"222247","188780"
"226478","21722"
"226478","182121"
"227119","130343"
"227119","212119"
"230086","10656"
"230086","16091"
"230132","10606"
"230132","103460"
"230132","271442"
"230304","27565"
"230304","27571"
"230304","61795"
"230304","62096"
"230304","238086"
"233088","26776"
"237829","24718"
"237829","27565"
"237829","27570"
"238086","61795"
"238086","230304"
"239977","71164"
"239977","94689"
"239977","125194"
"239977","374399"
"240368","61722"
"247254","135341"
"248512","21722"
"248512","27565"
"248512","182121"
"248512","298393"
"251928","208293"
"251928","251929"
"251929","208293"
"251929","251928"
"252090","110900"
"252090","287062"
"255637","101738"
"255637","286973"
"257690","26776"
"257846","16091"
"257846","26011"
"257846","276308"
"259002","19610"
"259002","21722"
"259002","49814"
"262133","5703"
"262133","14180"
"262133","61722"
"262273","26776"
"263043","31064"
"263043","67122"
"263043","263044"
"263043","338399"
"263044","31064"
"263044","42591"
"263044","67122"
"263044","263043"
"263211","71644"
"263211","343137"
"263496","26776"
"263521","19610"
"263521","48801"
"263521","166251"
"265041","21722"
"265041","106214"
"265041","130343"
"266470","26776"
"266470","106214"
"266470","309917"
"268479","26776"
"269420","255637"
"271442","10606"
"271442","103460"
"271442","230132"
"274595","21722"
"276308","16091"
"276308","91554"
"276308","150263"
"276308","257846"
"280094","125194"
"280094","239977"
"280434","21722"
"280434","182121"
"284384","5274"
"284384","21722"
"284384","190568"
"284385","190568"
"284751","43519"
"286973","255637"
"286973","328191"
"287062","252090"
"291710","26776"
"294428","26776"
"297184","56365"
"297184","348410"
"298393","21722"
"298393","182121"
"298393","248512"
"298833","61795"
"298833","62096"
"299894","16091"
"300264","10656"
"300264","16091"
"301431","313851"
"301431","354689"
"302607","19610"
"302963","5274"
"303260","19610"
"303260","26776"
"303260","43522"
"304118","62096"
"304118","215503"
"305672","19610"
"305672","48801"
"305672","93664"
"305673","93664"
"308128","151244"
"308128","308130"
"308128","315206"
"308128","315208"
"308130","151244"
"308130","308128"
"308130","315206"
"308130","315208"
"308130","376755"
"308130","376756"
"309917","32916"
"309917","106214"
"309917","266470"
"310532","16091"
"310532","83671"
"310537","62096"
"311120","10656"
"313851","71644"
"313851","301431"
"313851","354689"
"314950","71164"
"314950","71165"
"314950","100784"
"315206","308128"
"315206","308130"
"315206","315208"
"315208","26776"
"315208","151244"
"315208","308128"
"315208","308130"
"315208","315206"
"316004","26776"
"319002","26776"
"319971","5703"
"320899","26776"
"321973","26776"
"323246","230086"
"325345","26776"
"326674","11009"
"326674","24718"
"326674","27565"
"326674","27570"
"328191","24718"
"328191","255637"
"328191","286973"
"329542","19610"
"329542","21722"
"329542","59339"
"334118","27565"
"334118","27570"
"337390","5703"
"337390","341194"
"338216","26776"
"338399","24718"
"338399","263043"
"341194","337390"
"341294","24712"
"341294","61795"
"341294","341295"
"341294","341296"
"341295","341294"
"341296","341294"
"341296","341295"
"341489","26776"
"343137","263211"
"348410","12183"
"348410","56365"
"348410","297184"
"351459","27565"
"352750","26776"
"354689","143340"
"354689","301431"
"354689","313851"
"356103","60344"
"358334","27565"
"358879","12182"
"358879","42596"
"362485","24718"
"362485","27565"
"374399","125194"
"374399","239977"
"374399","280094"
"376755","151244"
"376755","308130"
"376755","315206"
"376756","308130"
"402992","26776"
